exchange,coverage_start,coverage_end,source_url,recorded_at,note
HOSE,2026-07-18,2026-07-31,https://www.hsx.vn/vi/theo-doi-dac-biet,2026-07-31,"Doc man hinh trang So 2026-07-31: tab Canh Bao 44 dong (STT 1-44), tab Kiem Soat 9 dong (STT 1-9)"
HNX,2026-07-18,2026-07-31,https://www.hnx.vn/vi-vn/co-phieu-etfs/chung-khoan-ny-thong-tin.html,2026-07-31,Doc man hinh trang So 2026-07-31: bang Tinh trang chung khoan 57/57 dong; ngay tra tung ma tu bang giam sat
