file,sha256,hash_convention,main_commit_sha,created_at_utc,fetch_date,price_adjustment_status
coverage_by_ticker.csv,628dad82c0280ac8ead7d299953d643f61dbf31be11485fb2f10c4e75922645f,SHA256_OF_LF_ONLY_BYTES,99e315835bac45a45af010abc2ea2cf65bdfc260,2026-07-22T10:36:44.015419Z,2026-07-22,ADJUSTED_OBSERVED
coverage_summary.csv,9bba09d825b691f7bc8b527f70494774695291545426211e516d85176fba7e95,SHA256_OF_LF_ONLY_BYTES,99e315835bac45a45af010abc2ea2cf65bdfc260,2026-07-22T10:36:44.015419Z,2026-07-22,ADJUSTED_OBSERVED
daily_close.csv.gz,6e097df98e990fc07dd73deb714c1bb28cc32a8e94fcc5c1308897a9e23a196b,SHA256_OF_RAW_BYTES,99e315835bac45a45af010abc2ea2cf65bdfc260,2026-07-22T10:36:44.015419Z,2026-07-22,ADJUSTED_OBSERVED
