ticker,exchange,icb2,icb3,icb4,market_cap,adtv_20d,status,reject_reason,as_of,source,data_status,filter_stage,reason_label,trigger_metric,trigger_value,threshold_or_cutoff
AAM,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,25701250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
AAN,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,,REJECTED,MISSING_PRICE_6M,2026-07-03,vnstock+vnstock_vci_symbols_by_industries,OK,,,,,
AAT,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,HÀNG CÁ NHÂN,HÀNG MAY MẶC,,67650800.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ABR,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,TƯ VẤN & HỖ TRỢ KINH DOANH,TƯ VẤN & HỖ TRỢ KD,,21015067.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ABS,HOSE,HÓA CHẤT,HÓA CHẤT,"SẢN PHẨM HÓA DẦU, NÔNG DƯỢC & HÓA CHẤT KHÁC",,392711850.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ACC,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,201723500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ACG,HOSE,TÀI NGUYÊN CƠ BẢN,LÂM NGHIỆP VÀ GIẤY,LÂM SẢN VÀ CHẾ BIẾN GỖ,,221969250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ACL,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,39722750.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ADG,HOSE,TRUYỀN THÔNG,TRUYỀN THÔNG,DỊCH VỤ TRUYỀN THÔNG,,19665200.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ADP,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,83730000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ANT,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,THỰC PHẨM,,139149250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ASG,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,VẬN TẢI,"KHO BÃI, HẬU CẦN VÀ BẢO DƯỠNG",,26693750.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
AST,HOSE,BÁN LẺ,BÁN LẺ,PHÂN PHỐI HÀNG CHUYÊN DỤNG,,205321409.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
BCE,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,93712550.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
BHN,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,BIA VÀ ĐỒ UỐNG,SẢN XUẤT BIA,,53247000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
BMC,HOSE,TÀI NGUYÊN CƠ BẢN,KHAI KHOÁNG,KHAI KHOÁNG,,119927500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
BRC,HOSE,HÓA CHẤT,HÓA CHẤT,"NHỰA, CAO SU & SỢI",,16844000.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
BTP,HOSE,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",SẢN XUẤT & PHÂN PHỐI ĐIỆN,SẢN XUẤT & PHÂN PHỐI ĐIỆN,,147973250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
BTT,HOSE,BÁN LẺ,BÁN LẺ,BÁN LẺ PHỨC HỢP,,32468000.0,REJECTED,LOW_LIQUIDITY,2026-07-01,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
C47,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,131970050.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CCC,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,22251850.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CCI,HOSE,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,PHÂN PHỐI XĂNG DẦU & KHÍ ĐỐT,,10285500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CCL,HOSE,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,346240015.5,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CHP,HOSE,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",SẢN XUẤT & PHÂN PHỐI ĐIỆN,SẢN XUẤT & PHÂN PHỐI ĐIỆN,,201221250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CKG,HOSE,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,308112100.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CLC,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,THUỐC LÁ,THUỐC LÁ,,143019000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CLL,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,VẬN TẢI,"KHO BÃI, HẬU CẦN VÀ BẢO DƯỠNG",,168568750.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CMV,HOSE,BÁN LẺ,BÁN LẺ,BÁN LẺ PHỨC HỢP,,6465750.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CMX,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,234405300.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CNG,HOSE,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,PHÂN PHỐI XĂNG DẦU & KHÍ ĐỐT,,160686250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
COM,HOSE,BÁN LẺ,BÁN LẺ,PHÂN PHỐI HÀNG CHUYÊN DỤNG,,45134950.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CRV,HOSE,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,24808000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
CVT,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,56966000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DAH,HOSE,DU LỊCH VÀ GIẢI TRÍ,DU LỊCH & GIẢI TRÍ,KHÁCH SẠN,,444796350.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DAT,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,12422050.0,REJECTED,LOW_LIQUIDITY,2026-06-26,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DBT,HOSE,Y TẾ,DƯỢC PHẨM,DƯỢC PHẨM,,236029250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DHM,HOSE,TÀI NGUYÊN CƠ BẢN,KHAI KHOÁNG,KHAI KHOÁNG,,66033200.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DMC,HOSE,Y TẾ,DƯỢC PHẨM,DƯỢC PHẨM,,27333000.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DQC,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,HÀNG GIA DỤNG,THIẾT BỊ GIA DỤNG,,59551350.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DRH,HOSE,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,376991250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DRL,HOSE,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",SẢN XUẤT & PHÂN PHỐI ĐIỆN,SẢN XUẤT & PHÂN PHỐI ĐIỆN,,123457500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DSC,HOSE,DỊCH VỤ TÀI CHÍNH,DỊCH VỤ TÀI CHÍNH,MÔI GIỚI CHỨNG KHOÁN,,303002500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DSN,HOSE,DU LỊCH VÀ GIẢI TRÍ,DU LỊCH & GIẢI TRÍ,DỊCH VỤ GIẢI TRÍ,,164004250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DTA,HOSE,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,28307300.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DTL,HOSE,TÀI NGUYÊN CƠ BẢN,KIM LOẠI,THÉP VÀ SẢN PHẨM THÉP,,107235700.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DTT,HOSE,HÓA CHẤT,HÓA CHẤT,"NHỰA, CAO SU & SỢI",,214563.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
DXV,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,9576150.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
EVE,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,HÀNG CÁ NHÂN,HÀNG MAY MẶC,,271831385.5,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
FCM,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,142986800.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
FDC,HOSE,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,43633750.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
GDT,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,HÀNG GIA DỤNG,THIẾT BỊ GIA DỤNG,,135240923.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
GEL,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,,REJECTED,MISSING_PRICE_6M,2026-07-03,vnstock+vnstock_vci_symbols_by_industries,OK,,,,,
GHC,HOSE,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",SẢN XUẤT & PHÂN PHỐI ĐIỆN,SẢN XUẤT & PHÂN PHỐI ĐIỆN,,150916250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
GMH,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,11755340.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
GSP,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,VẬN TẢI,VẬN TẢI THỦY,,487976750.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
GTA,HOSE,TÀI NGUYÊN CƠ BẢN,LÂM NGHIỆP VÀ GIẤY,LÂM SẢN VÀ CHẾ BIẾN GỖ,,6332600.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HAP,HOSE,TÀI NGUYÊN CƠ BẢN,LÂM NGHIỆP VÀ GIẤY,SẢN XUẤT GIẤY,,363284150.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HAR,HOSE,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,160710700.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HAS,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,35649100.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HCD,HOSE,HÓA CHẤT,HÓA CHẤT,"NHỰA, CAO SU & SỢI",,125537650.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HMC,HOSE,TÀI NGUYÊN CƠ BẢN,KIM LOẠI,THÉP VÀ SẢN PHẨM THÉP,,22475270.5,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HNA,HOSE,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",SẢN XUẤT & PHÂN PHỐI ĐIỆN,SẢN XUẤT & PHÂN PHỐI ĐIỆN,,29424000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HPA,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,,REJECTED,MISSING_PRICE_6M,2026-07-03,vnstock+vnstock_vci_symbols_by_industries,OK,,,,,
HRC,HOSE,HÓA CHẤT,HÓA CHẤT,"NHỰA, CAO SU & SỢI",,135743750.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HTG,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,HÀNG CÁ NHÂN,HÀNG MAY MẶC,,200405500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HTI,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,475760037.5,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HTL,HOSE,Ô TÔ VÀ PHỤ TÙNG,Ô TÔ VÀ PHỤ TÙNG,SẢN XUẤT Ô TÔ,,21763250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HTV,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,VẬN TẢI,VẬN TẢI THỦY,,17789750.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HU1,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,3894150.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
HUB,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,49577250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ICT,HOSE,CÔNG NGHỆ THÔNG TIN,PHẦN MỀM & DỊCH VỤ MÁY TÍNH,PHẦN MỀM,,73140000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
ILB,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,VẬN TẢI,"KHO BÃI, HẬU CẦN VÀ BẢO DƯỠNG",,396035500.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
IMP,HOSE,Y TẾ,DƯỢC PHẨM,DƯỢC PHẨM,,419978500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
JVC,HOSE,Y TẾ,THIẾT BỊ VÀ DỊCH VỤ Y TẾ,THIẾT BỊ Y TẾ,,342667200.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
KHP,HOSE,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",SẢN XUẤT & PHÂN PHỐI ĐIỆN,SẢN XUẤT & PHÂN PHỐI ĐIỆN,,182872840.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
KMR,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,HÀNG CÁ NHÂN,HÀNG MAY MẶC,,39496850.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
L10,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,CÔNG NGHIỆP NẶNG,MÁY CÔNG NGHIỆP,,25682092.5,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
LBM,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,317530250.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
LGC,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,104117000.0,REJECTED,LOW_LIQUIDITY,2026-04-29,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
LGL,HOSE,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,441725750.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
LIX,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,HÀNG CÁ NHÂN,HÀNG CÁ NHÂN,,414799000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
LM8,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG,,9870750.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
LSS,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,THỰC PHẨM,,403263750.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
MDG,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,214090500.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
MHC,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,VẬN TẢI,DỊCH VỤ VẬN TẢI,,107451200.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NAV,HOSE,XÂY DỰNG VÀ VẬT LIỆU,XÂY DỰNG VÀ VẬT LIỆU,VẬT LIỆU XÂY DỰNG & NỘI THẤT,,11089490.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NHH,HOSE,HÓA CHẤT,HÓA CHẤT,"NHỰA, CAO SU & SỢI",,486358750.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NHT,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,HÀNG HÓA GIẢI TRÍ,ĐỒ CHƠI,,103188750.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NO1,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,CÔNG NGHIỆP NẶNG,MÁY CÔNG NGHIỆP,,59439750.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NSC,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,50423000.0,REJECTED,LOW_LIQUIDITY,2026-06-29,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
NVT,HOSE,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,7656700.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
OPC,HOSE,Y TẾ,DƯỢC PHẨM,DƯỢC PHẨM,,202048000.0,REJECTED,LOW_LIQUIDITY,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
PDN,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,VẬN TẢI,"KHO BÃI, HẬU CẦN VÀ BẢO DƯỠNG",,283031500.0,REJECTED,LOW_LIQUIDITY,2026-07-02,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK,,,,,
